PING 10.1.2.2 (10.1.2.2) 56(84) bytes of data.
64 bytes from 10.1.2.2: icmp_req=1 ttl=62 time=4.28 ms
64 bytes from 10.1.2.2: icmp_req=2 ttl=62 time=14.0 ms
64 bytes from 10.1.2.2: icmp_req=3 ttl=62 time=13.5 ms
64 bytes from 10.1.2.2: icmp_req=4 ttl=62 time=28.4 ms
64 bytes from 10.1.2.2: icmp_req=5 ttl=62 time=15.7 ms
64 bytes from 10.1.2.2: icmp_req=6 ttl=62 time=111 ms
64 bytes from 10.1.2.2: icmp_req=7 ttl=62 time=16.0 ms
64 bytes from 10.1.2.2: icmp_req=8 ttl=62 time=37.3 ms
64 bytes from 10.1.2.2: icmp_req=9 ttl=62 time=1.78 ms
